Category,City,Country,Customer ID,Customer Name,Discount,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit,Quantity,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Sales
Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,0.3,2018-07-16 0:00,US-2018-156909,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",-1.0196,2,East,24,Consumer,2018-07-18 0:00,Second Class,Pennsylvania,Chairs,USD71.37
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.7,2016-09-17 0:00,US-2016-150630,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,-7.0532,2,East,29,Consumer,2016-09-21 0:00,Standard Class,Pennsylvania,Binders,USD9.61
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.7,2016-09-17 0:00,US-2016-150630,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-5.715,6,East,33,Consumer,2016-09-21 0:00,Standard Class,Pennsylvania,Binders,USD6.85
Office Supplies,Philadelphia,United States,FH-14365,Fred Hopkins,0.7,2018-07-06 0:00,US-2018-124303,19120,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",-2.2586,2,East,199,Corporate,2018-07-13 0:00,Standard Class,Pennsylvania,Binders,USD2.94
Technology,Medina,United States,VW-21775,Victoria Wilson,0.7,2016-01-02 0:00,CA-2016-146262,44256,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,-950.4,9,East,216,Corporate,2016-01-09 0:00,Standard Class,Ohio,Machines,USD1188
Office Supplies,Dublin,United States,JB-15925,Joni Blumstein,0.7,2016-12-24 0:00,CA-2016-169397,43017,OFF-BI-10002852,Ibico Standard Transparent Covers,-13.8432,4,East,222,Consumer,2016-12-27 0:00,First Class,Ohio,Binders,USD24
Technology,Dublin,United States,JB-15925,Joni Blumstein,0.7,2016-12-24 0:00,CA-2016-169397,43017,TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,-383.9904,4,East,224,Consumer,2016-12-27 0:00,First Class,Ohio,Machines,USD252
Office Supplies,Philadelphia,United States,PO-18850,Patrick O'Brill,0.7,2017-08-30 0:00,US-2017-141544,19143,OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,-27.6936,6,East,331,Consumer,2017-09-01 0:00,First Class,Pennsylvania,Binders,USD28
Office Supplies,Philadelphia,United States,JL-15850,John Lucas,0.7,2017-04-25 0:00,US-2017-150147,19134,OFF-BI-10001153,Ibico Recycled Grain-Textured Covers,-13.816,2,East,333,Consumer,2017-04-29 0:00,Second Class,Pennsylvania,Binders,USD40
Office Supplies,Philadelphia,United States,JL-15850,John Lucas,0.7,2017-04-25 0:00,US-2017-150147,19134,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,-3.4272,3,East,334,Consumer,2017-04-29 0:00,Second Class,Pennsylvania,Binders,USD8
Office Supplies,Philadelphia,United States,JD-15895,Jonathan Doherty,0.7,2015-04-13 0:00,CA-2015-122336,19140,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,-407.976,10,East,342,Corporate,2015-04-17 0:00,Second Class,Pennsylvania,Binders,USD288
Technology,Philadelphia,United States,DK-13225,Dean Katz,0.7,2016-12-03 0:00,CA-2016-122756,19140,TEC-MA-10001681,Lexmark MarkNet N8150 Wireless Print Server,-337.638,4,East,387,Corporate,2016-12-07 0:00,Standard Class,Pennsylvania,Machines,USD72
Office Supplies,Philadelphia,United States,AR-10510,Andrew Roberts,0.7,2015-05-23 0:00,US-2015-105767,19134,OFF-BI-10000848,Angle-D Ring Binders,-2.6256,2,East,608,Consumer,2015-05-27 0:00,Standard Class,Pennsylvania,Binders,USD6
Office Supplies,Grove City,United States,CK-12595,Clytie Kelty,0.7,2018-11-14 0:00,CA-2018-138611,43123,OFF-BI-10002949,Prestige Round Ring Binders,-2.7968,2,East,616,Consumer,2018-11-17 0:00,Second Class,Ohio,Binders,USD45
Office Supplies,Columbus,United States,CR-12730,Craig Reiter,0.7,2017-08-22 0:00,CA-2017-137239,43229,OFF-BI-10002827,Avery Durable Poly Binders,-2.6544,2,East,656,Consumer,2017-08-28 0:00,Standard Class,Ohio,Binders,USD30
Office Supplies,Chester,United States,JO-15550,Jesus Ocampo,0.7,2016-05-14 0:00,CA-2016-119291,19013,OFF-BI-10001575,GBC Linen Binding Covers,-13.6312,2,East,700,Home Office,2016-05-17 0:00,First Class,Pennsylvania,Binders,USD360
Office Supplies,Chester,United States,JO-15550,Jesus Ocampo,0.7,2016-05-14 0:00,CA-2016-119291,19013,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,-3.4272,3,East,701,Home Office,2016-05-17 0:00,First Class,Pennsylvania,Binders,USD22
Office Supplies,Columbus,United States,BM-11785,Bryan Mills,0.7,2016-10-03 0:00,US-2016-157014,43229,OFF-BI-10001098,Acco D-Ring Binder w/DublLock,-22.449,5,East,782,Consumer,2016-10-06 0:00,Second Class,Ohio,Binders,USD238
Office Supplies,Philadelphia,United States,CA-12775,Cynthia Arntzen,0.7,2015-06-28 0:00,CA-2015-140858,19140,OFF-BI-10003094,Self-Adhesive Ring Binder Labels,-2.4288,3,East,819,Consumer,2015-07-02 0:00,Standard Class,Pennsylvania,Binders,USD597
Office Supplies,Philadelphia,United States,CA-12775,Cynthia Arntzen,0.7,2015-06-28 0:00,CA-2015-140858,19140,OFF-BI-10004230,GBC Recycled Grain Textured Covers,-22.7964,3,East,821,Consumer,2015-07-02 0:00,Standard Class,Pennsylvania,Binders,USD26
Office Supplies,Lancaster,United States,GP-14740,Guy Phonely,0.7,2015-04-06 0:00,CA-2015-136742,17602,OFF-BI-10003719,Large Capacity Hanging Post Binders,-35.928,6,East,869,Corporate,2015-04-10 0:00,Standard Class,Pennsylvania,Binders,USD252
Office Supplies,Philadelphia,United States,PK-18910,Paul Knutson,0.7,2017-09-03 0:00,CA-2017-158099,19143,OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,-760.98,5,East,870,Home Office,2017-09-05 0:00,First Class,Pennsylvania,Binders,USD37
Office Supplies,Philadelphia,United States,AG-10765,Anthony Garverick,0.7,2015-09-17 0:00,US-2015-158638,19120,OFF-BI-10003712,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",-4.1244,4,East,879,Home Office,2015-09-21 0:00,Standard Class,Pennsylvania,Binders,USD345
Office Supplies,Springfield,United States,JR-16210,Justin Ritter,0.7,2017-04-10 0:00,US-2017-114622,45503,OFF-BI-10004716,Wilson Jones Hanging Recycled Pressboard Data Binders,-6.5296,2,East,900,Corporate,2017-04-12 0:00,First Class,Ohio,Binders,USD50
Office Supplies,Philadelphia,United States,CG-12040,Catherine Glotzbach,0.7,2017-06-20 0:00,CA-2017-140081,19120,OFF-BI-10004826,JM Magazine Binder,-21.7932,6,East,935,Home Office,2017-06-24 0:00,Standard Class,Pennsylvania,Binders,USD35
Office Supplies,Philadelphia,United States,DL-13315,Delfina Latchford,0.7,2015-01-16 0:00,CA-2015-115791,19134,OFF-BI-10001575,GBC Linen Binding Covers,-13.6312,2,East,973,Consumer,2015-01-18 0:00,Second Class,Pennsylvania,Binders,USD26.34
Office Supplies,Cincinnati,United States,AG-10390,Allen Goldenen,0.7,2017-11-20 0:00,CA-2017-109820,45231,OFF-BI-10003460,Acco 3-Hole Punch,-1.9272,2,East,1035,Consumer,2017-11-22 0:00,First Class,Ohio,Binders,USD90
Office Supplies,Cincinnati,United States,AG-10390,Allen Goldenen,0.7,2017-11-20 0:00,CA-2017-109820,45231,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,-10.5798,3,East,1036,Consumer,2017-11-22 0:00,First Class,Ohio,Binders,USD29.55
Office Supplies,Toledo,United States,TS-21160,Theresa Swint,0.7,2016-04-16 0:00,CA-2016-161263,43615,OFF-BI-10004330,"GBC Velobind Prepunched Cover Sets, Regency Series",-46.225,5,East,1067,Corporate,2016-04-21 0:00,Standard Class,Ohio,Binders,USD414
Office Supplies,Philadelphia,United States,RB-19795,Ross Baird,0.7,2016-07-25 0:00,US-2016-150161,19143,OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,-18.4624,4,East,1070,Home Office,2016-07-29 0:00,Standard Class,Pennsylvania,Binders,USD18.22
Office Supplies,Philadelphia,United States,SP-20620,Stefania Perrino,0.7,2018-09-09 0:00,US-2018-118087,19134,OFF-BI-10002432,Wilson Jones Standard D-Ring Binders,-2.3276,2,East,1214,Corporate,2018-09-13 0:00,Standard Class,Pennsylvania,Binders,USD716
Office Supplies,Philadelphia,United States,SP-20620,Stefania Perrino,0.7,2018-09-09 0:00,US-2018-118087,19134,OFF-BI-10000069,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",-3.6024,1,East,1215,Corporate,2018-09-13 0:00,Standard Class,Pennsylvania,Binders,USD33.10
